open_time,open,high,low,close,volume
1672531200000,16524.41,16529.59,16502.66,16502.66,2.793663
1672532100000,16503.24,16532.52,16501.72,16532.46,4.530669
1672533000000,16533.0,16533.0,16500.63,16512.68,5.566762
1672533900000,16505.87,16529.65,16505.87,16526.09,3.919261
1672534800000,16528.29,16532.36,16518.79,16532.06,3.357425
1672535700000,16531.54,16531.54,16524.46,16524.5,2.302557
1672536600000,16524.01,16533.3,16524.01,16531.47,3.141779
1672537500000,16528.76,16546.99,16525.86,16546.99,2.802511
1672538400000,16537.7,16540.79,16529.91,16535.51,0.930142
1672539300000,16538.45,16554.6,16529.8,16544.06,6.675558
1672540200000,16548.28,16549.98,16529.82,16531.05,0.739159
1672541100000,16530.38,16541.43,16530.38,16539.38,1.096005
1672542000000,16536.57,16536.57,16516.2,16519.05,1.58318
1672542900000,16513.99,16524.48,16508.76,16524.29,2.240562
1672543800000,16521.24,16537.4,16521.05,16529.35,5.521812
1672544700000,16530.14,16535.48,16521.36,16521.36,3.257497
1672545600000,16530.82,16533.6,16524.12,16524.12,2.221474
1672546500000,16522.72,16528.06,16514.69,16519.75,1.432376
1672547400000,16520.25,16524.59,16518.37,16520.94,0.601343
1672548300000,16517.76,16525.28,16516.0,16520.57,1.883904
1672549200000,16522.7,16524.37,16512.6,16517.28,3.159942
1672550100000,16517.2,16519.68,16511.38,16519.68,1.914745
1672551000000,16520.92,16521.32,16515.23,16517.23,1.310783
1672551900000,16519.92,16527.99,16519.42,16527.99,0.628041
1672552800000,16532.16,16540.4,16530.46,16534.02,1.759165
1672553700000,16536.42,16547.21,16536.42,16546.19,3.711763
1672554600000,16542.64,16543.41,16537.74,16543.41,1.412193
1672555500000,16543.09,16543.09,16538.46,16539.14,0.484347
1672556400000,16541.2,16542.58,16521.96,16527.35,5.752482
1672557300000,16526.14,16526.15,16497.67,16519.7,13.35305
1672558200000,16521.36,16527.96,16503.73,16525.46,5.662499
1672559100000,16524.48,16529.7,16522.71,16528.14,2.907963
1672560000000,16528.04,16532.56,16517.36,16517.36,3.80558
1672560900000,16516.83,16522.9,16513.29,16520.83,3.906277
1672561800000,16522.61,16524.07,16511.84,16511.84,0.97417
1672562700000,16513.82,16514.59,16508.11,16512.54,1.631028
1672563600000,16513.58,16513.58,16506.31,16511.03,1.232866
1672564500000,16514.33,16521.96,16514.33,16515.05,1.257624
1672565400000,16517.25,16531.44,16517.25,16531.44,2.214654
1672566300000,16533.39,16541.01,16528.37,16536.91,2.744363
1672567200000,16536.36,16542.31,16532.7,16542.28,1.712392
1672568100000,16544.03,16545.96,16541.59,16545.96,1.137872
1672569000000,16542.29,16545.6,16535.13,16541.99,17.580099
1672569900000,16542.52,16554.4,16540.08,16548.68,9.383315
1672570800000,16549.78,16555.37,16546.17,16555.37,1.358551
1672571700000,16546.41,16546.41,16543.03,16544.59,0.841132
1672572600000,16545.3,16551.88,16545.3,16551.88,0.450061
1672573500000,16550.47,16550.51,16547.83,16550.51,0.611428
1672574400000,16555.97,16569.03,16549.34,16567.01,4.072764
1672575300000,16562.42,16568.3,16558.8,16568.3,2.79907
1672576200000,16564.17,16564.17,16555.13,16558.22,1.07305
1672577100000,16557.51,16562.19,16557.51,16561.92,0.60579
1672578000000,16563.21,16566.58,16554.31,16554.31,2.513309
1672578900000,16546.8,16549.37,16542.43,16549.37,1.365617
1672579800000,16551.81,16551.81,16539.0,16544.64,4.885893
1672580700000,16544.4,16550.1,16541.07,16548.08,2.156081
1672581600000,16550.12,16553.6,16545.02,16553.6,2.54711
1672582500000,16551.13,16556.81,16551.09,16554.73,1.084794
1672583400000,16556.68,16558.65,16546.48,16546.48,1.399284
1672584300000,16547.73,16550.92,16540.15,16540.15,3.994481
1672585200000,16543.13,16550.49,16543.13,16550.49,2.141737
1672586100000,16549.0,16550.51,16536.43,16541.49,4.31567
1672587000000,16543.93,16546.09,16543.49,16546.09,0.284588
1672587900000,16549.85,16559.44,16545.66,16557.02,1.924775
1672588800000,16556.76,16579.04,16556.43,16562.73,9.510159
1672589700000,16560.6,16579.11,16560.57,16579.11,2.240728
1672590600000,16576.68,16580.1,16562.42,16563.05,3.205716
1672591500000,16567.23,16573.35,16564.68,16565.71,1.711854
1672592400000,16566.53,16572.31,16563.57,16572.27,2.322111
1672593300000,16572.25,16595.36,16571.3,16585.01,9.501888
1672594200000,16583.79,16587.26,16573.04,16585.75,4.356004
1672595100000,16583.76,16585.52,16578.23,16580.41,1.450549
